"FoodID","PyramidCategoryOrder","PyramidCategoryID","HighFat","HighSugar","PyramidValue"
297,1,6,0,0,0.25
297,2,12,0,0,8.00
297,3,73,,,0.12
297,4,77,,,292.00
298,1,6,0,0,5.00
298,2,73,,,2.50
299,1,6,0,0,1.47
299,2,73,,,1.10
300,1,6,0,0,2.00
300,2,73,,,1.00
302,1,6,0,0,1.00
302,2,12,0,0,1.00
302,3,73,,,0.50
302,4,77,,,54.00
303,1,6,0,0,1.00
303,2,73,,,0.50
304,1,6,0,0,0.99
304,2,73,,,0.49
305,1,6,0,0,0.25
305,2,73,,,0.12
306,1,6,0,0,1.50
306,2,73,,,1.12
307,1,6,0,0,0.85
307,2,73,,,0.42
308,1,6,0,0,0.97
308,2,73,,,0.48
309,1,6,0,0,2.00
309,2,73,,,1.00
310,1,6,0,0,1.00
310,2,12,0,0,1.00
310,3,73,,,0.50
310,4,77,,,68.00
311,1,13,0,0,1.00
311,2,71,,,0.50
312,1,13,0,0,1.00
312,2,71,,,0.50
313,1,6,0,0,2.00
313,2,73,,,1.00
314,1,6,0,0,1.00
314,2,12,0,0,1.00
314,3,73,,,0.50
314,4,77,,,62.00
315,1,6,0,0,1.00
315,2,12,0,0,1.00
315,3,73,,,0.50
315,4,77,,,39.00
316,1,6,0,0,1.91
316,2,73,,,0.95
317,1,6,0,0,1.46
317,2,73,,,1.09
318,1,6,0,0,3.50
318,2,73,,,1.75
319,1,1,0,0,2.50
319,2,72,,,2.50
325,1,1,0,0,1.58
325,2,72,,,1.58
326,1,11,0,0,0.95
326,2,77,,,60.00
327,1,1,0,0,1.76
327,2,72,,,1.76
328,1,11,0,0,1.07
328,2,77,,,60.00
329,1,1,0,0,1.12
329,2,72,,,1.12
330,1,1,0,0,1.12
330,2,72,,,1.12
332,1,1,0,0,1.05
332,2,72,,,1.05
333,1,11,0,0,1.07
333,2,77,,,60.00
334,1,1,0,0,0.91
334,2,72,,,0.91
335,1,11,0,0,0.95
335,2,77,,,60.00
336,1,1,0,0,1.76
336,2,72,,,1.76
337,1,11,0,0,1.19
337,2,77,,,60.00
338,1,1,0,0,1.12
338,2,72,,,1.12
339,1,11,0,0,0.95
339,2,77,,,60.00
340,1,1,0,0,1.76
340,2,72,,,1.76
346,1,13,0,0,0.07
346,2,71,,,0.03
347,1,13,0,0,0.28
347,2,71,,,0.14
348,1,13,0,0,0.26
348,2,71,,,0.13
349,1,1,0,0,1.23
349,2,72,,,1.23
351,1,7,0,0,1.00
351,2,74,,,3.00
351,3,76,,,0.60
354,1,7,0,0,0.66
354,2,74,,,2.00
354,3,76,,,0.11
355,1,7,0,0,1.00
355,2,74,,,3.00
355,3,76,,,0.16
356,1,11,0,0,0.00
357,1,11,0,0,0.00
360,1,14,0,0,2.70
360,2,19,0,0,0.53
360,3,72,,,2.70
360,4,74,,,1.61
363,1,1,0,0,2.00
363,2,72,,,2.00
363,3,77,,,11.00
364,1,1,0,0,2.00
364,2,72,,,2.00
365,1,1,0,0,2.00
365,2,72,,,2.00
368,1,1,0,0,0.66
368,2,77,,,0.00
368,3,72,,,0.66
369,1,1,0,0,1.72
369,2,77,,,0.00
369,3,72,,,1.72
370,1,1,0,0,1.84
370,2,6,0,1,1.07
370,3,72,,,1.84
370,4,73,,,0.53
371,1,1,0,0,0.88
371,2,77,,,0.00
371,3,72,,,0.88
372,1,1,0,0,1.09
372,2,72,,,1.09
372,3,77,,,32.00
373,1,1,0,1,1.00
373,2,72,,,1.00
373,3,77,,,31.00
374,1,1,0,0,1.09
374,2,77,,,33.00
374,3,72,,,1.09
376,1,1,0,0,0.49
376,2,72,,,0.49
376,3,77,,,10.00
378,1,1,0,0,1.05
378,2,77,,,0.00
378,3,72,,,1.05
379,1,1,0,0,0.31
379,2,72,,,0.31
381,1,1,0,0,2.22
381,2,72,,,2.22
381,3,77,,,42.00
382,1,1,0,0,0.49
382,2,77,,,0.00
382,3,72,,,0.49
384,1,1,0,0,1.00
384,2,72,,,1.00
385,1,14,0,0,3.09
385,2,19,0,0,0.69
385,3,72,,,3.09
385,4,74,,,2.07
386,1,1,0,0,0.70
386,2,72,,,0.70
386,3,77,,,72.00
387,1,14,0,0,1.64
387,2,19,0,0,0.80
387,3,72,,,1.64
387,4,74,,,2.42
388,1,1,1,0,2.00
388,2,72,,,2.00
388,3,77,,,18.00
389,1,1,1,0,1.04
389,2,72,,,1.04
389,3,77,,,180.00
392,1,1,1,0,0.97
392,2,12,0,0,0.97
